date,sum,weekend
2018-11-15,27956.309999999976,False
2018-11-16,38121.34999999955,False
2018-11-17,71037.33000000007,True
2018-11-18,63659.53999999998,True
2018-11-19,30316.19000000038,False
2018-11-20,39087.130000000405,False
2018-11-21,35030.890000000436,False
2018-11-22,26157.850000000366,False
2018-11-23,50976.219999999514,False
2018-11-24,58030.74000000011,True
2018-11-25,50381.52000000009,True
2018-11-26,32781.790000000256,False
2018-11-27,43629.46000000039,False
2018-11-28,34321.44000000039,False
2018-11-29,36622.05999999954,False
2018-11-30,30140.670000000402,False
2018-12-01,65303.60999999985,True
2018-12-02,69364.61000000006,True
2018-12-03,45733.900000000445,False
2018-12-04,39775.20000000084,False
2018-12-05,43534.49000000013,False
2018-12-06,70305.1199999999,False
2018-12-07,40197.24999999965,False
2018-12-08,64184.920000000086,True
2018-12-09,50198.760000000075,True
2018-12-10,68391.82000000004,False
2018-12-11,64143.919999999845,False
2018-12-12,39662.35000000004,False
2018-12-13,37024.569999999614,False
2018-12-14,27105.899999999925,False
2018-12-15,61150.560000000405,True
2018-12-16,47985.44000000009,True
2018-12-17,34473.33000000057,False
2018-12-18,44461.34000000045,False
2018-12-19,37342.220000000656,False
2018-12-20,38563.11999999952,False
2018-12-21,37948.659999999596,False
2018-12-22,34945.36999999974,True
2018-12-23,43374.499999999534,True
2018-12-24,34840.67000000037,False
2018-12-25,51350.61999999959,False
2018-12-26,34274.99000000039,False
2018-12-27,42858.09999999964,False
2018-12-28,43725.49999999964,False
2018-12-29,64131.199999999946,True
2018-12-30,52221.370000000265,True
2018-12-31,38977.640000000094,False
2019-01-01,33096.66000000013,False
2019-01-02,25932.1,False
2019-01-03,37513.250000000444,False
2019-01-04,32850.820000000494,False
